tweets,class
"Relying on the Human Rights Act, despite their opposition to the law and their calls for it to be repealed. #irony https://t.co/EGdbbSS9HN",irony
That double-take moment when you're travelling at the speed limit and a speed camera van rockets past you. #irony #OneRuleForThem,irony
CEO makes fun of guy for wearing a shirt from Sears while wearing his best from the Trump line at Macy's. #irony,irony
#SeppBlatter says loads of cash has nothing to do with football #FIFA #irony #leenelson  https://t.co/jZt6he8e4T,irony
I made myself a vegan dinner treat and now it's time to catch up with Hannibal season 3! #irony http://t.co/Mvm5u8iASE,irony
The #rebel flag goes down. The #Cuban #flag goes up. #Confederacy #irony #communism #castro #cubanembassy,irony
@stephengault @dixie1916 @M_McGuinness_SF calling people terrorists when you've a poppy on your a display picture. #irony #terrorist,irony
"@RealLeeNelson arrested for throwing fake $$s at Blatter. If he'd thrown real ones, he might have got a position in Fifa! #irony",irony
I wonder if the Ashley Madison hackers have any info on how many members are against gay marriage because they're devote Christians? #Irony,irony
"By trying #Irony @obi2icez 
one reason i can't bed a prostitute..... hw can i put my trust on rubber?",irony
"Same station, same bus line, same vending machine, but a little sweeter 😉 @ChristophrWood #Irony #SignMyCokeBottle http://t.co/1wOw79kRYp",irony
The ONLY funny thing about this gif is Blatter appears to cower at the thought of being showered with money #irony http://t.co/yLqShdtW5U,irony
.@Independent_ie complain about @BBCSport claiming Irish golfer as Brit but claim surfer as 'Irish-Australian' http://t.co/ZS15L3J5ac #irony,irony
"When you want to be visible, you're invisible. When you want to be invisble, your visble. #irony  #GrowingUpShy",irony
"As @ToddOnFranchise just pointed out to me off-air, Bowlsby refuses to call student-athletes ""employees"" but presidents are ""CEOs."" #irony",irony
"@k_miller08 @mrkrndvs @PeterMDeWitt @danhaesler 
Also easily wiped out by other practices (particularly by heavy focus on grades) #irony",irony
"@ AQpk Indian-occupied? According to u wht constitutes ""Indian""? I thought u belived India is jst amalgamtion of diff identities! #irony",irony
"@DanScavino @realDonaldTrump @EricTrump @MikeFino68 @woodmank104 @Blackberryk104 @WYVeteran All I see is trump ""photo op"" pics! #Irony 😬",irony
@LBC @darrenadam An elitist over-privileged free market fundamentalist who went to a school where he was told he was born to rule? #irony,irony
Always saying that time needs to slow down but always wanting it to hurry up at the same time #irony come on Wednesday 😎,irony
@SusanKim4 Good morning! And you were on your way to work to make a few bucks! #irony Ha! Hope you had a steamy hot golf filled weekend.,irony
"Stunning photo showing how renewables are saving nature, environment and the planet. Thank you, @Greenpeace! #irony https://t.co/uZBw1LE3JA",irony
@AndrewCMcCarthy @NROcorner Trump may want to site McCain signing the Corker Bill next time subject comes up #irony,irony
"@GissiSim in the tradition of my enemy's enemy is my friend, does ISIS therefore support the state of Israel? #irony",irony
@hsupresident @AnAngryAlex Meanwhile Alex's banner is of a protest which jeopardised my physical safety #irony #nusnec #StudentsAgainstNUS,irony
"@iRealMeekMill @KenndrickLamar Since his tweet is expressed with words, shall it too me mistrusted? :-) #irony",irony
"Have seen a few examples in this FB @RattleMag ""controversy"" of white male poets refusing to listen when it comes to diversity #irony",irony
"How can y'all marches and protests when a white cop kills a black kid, but y'all have a no snitching policy in ya own hood? #Irony",irony
It looks like @AshleyMadison broke it's promise of discretion for their cheating customer's. #Irony #Karma,irony
@Nola2016 ...says the person typing in shorthand and emoji. #irony @philoverdrunk @Roze11e @TakeThatDarwin,irony
When they finally came to air.....At least Cash Wars wasn't missed #irony !!!! @LordHobson @Yatesygolfpunk @GORDONHUNTER16 @jwollington bbc,irony
@marcorubio is bitching about new Cuba/USA diplomatic relations writing speeches against it in the computer made in communist China. #irony,irony
Just got told to slow down for walking to fast in a store by an obese lady in a powerchair. LOL #irony,irony
Getting health advice from NBC's @CoreyHebertMD .... as I eat strawberry cake. #irony #2015NACW http://t.co/Cz7BCTbVbM,irony
Head lines http://t.co/MBguCXtl91 #autocorrect #copywriting #irony #proofreading #SaudiArabia #subediting #typo #UN http://t.co/0OW4S7qF3k,irony
Re-subbed to Spotify Premium. Got over the price. The quality and no ads is worth it. #irony #Spotify,irony
"@BuzzFeedAndrew 

The reporter of that needless hit-piece was exposed to a traumatizing experience online???

Oh My.....

#irony",irony
@mothercareuk email reponse to my complaint then email me today to review the blooming product #irony #useless http://t.co/CpI4mojy9w,irony
"37 million cheating spouses exposed by Ashley Madison #DataBreach…wait for it…hackers breach on moral grounds #Irony

http://t.co/QJvzeAPrLO",irony
"Website For Cheating Spouses Hacked, 37M Users’ Data At Risk http://t.co/0nABElAGHR #poetic #justice #irony #uhavebeenwarned",irony
#Running in my #Nike #FreeRuns ended up giving me #PlantarFasciitis. I was then told they were the worst shoe to #run in. #Irony @Nike,irony
"Gotta love that Blatter says his next job will be in radio, a dying medium that was built on payola, just like Sepp  #FIFA #irony",irony
"#AmericaOnPoint, because we need a more reactionary foreign policy. Who cares about ""nuance""? What's ""strategy"" anyway? Bombs away! 

#irony",irony
Working out while listening to @ShaiLinne &amp; @lecrae as the TV next to me is tuned to TBN. #GetTheeBehindMe #Irony http://t.co/kHQ8XbuHrT,irony
@ashleymadison claiming that some might say they are “the last truly secure place on the internet” ROFLcopter #Irony https://t.co/Fh5AkCTGCu,irony
Amazing to read countless articles written by supposed 'experts' who claim that Western policy in the Middle East makes sense. #irony,irony
@ZackHarold @shaymaunz I love that Charleston Newspaper management isn't responding to questions. #irony,irony
A mate of mine says he can't find any time to meet me today because he has back to back Agile meetings. #irony,irony
#Microsoft Apparently Wants #Windows10 Cortana To Be Fluent In British Humor including #irony &amp; sarcasm http://t.co/asqoS5h1AF,irony
"File this under ""graphic design crimes against humanity"" https://t.co/KYgSoOq7ct #irony #graphicdesign #logodesign",irony
A Blake Shelton song goes off and a Miranda Lambert song comes on. At least the radio tried to keep them together. #irony,irony
"#Irony is a bathroom door you have to pull to open after you've used the touch-free faucet, soap dispenser and hand dryer.",irony
"Gawker editors resigning due to violation of their ""principles.""
...
LOLOLOLOLOLOLOL! #irony #SelfParody #Gawker #FauxJournalism",irony
"This lady on youtube wants to say we should take the fight to ISIS full force, right after stating her grandpa served in Vietnam #irony",irony
"Last paragraph of a 3 page description on the principles of ""Liberating Structures"" urges not to use jargon. #irony",irony
Ashley Madison users must feel so deceived right now. Imagine having your trust broken like that! #irony,irony
So Ryback gets a staph infection last week &amp; gets treated asap. I'm sure CM Punk would be pleased to know that #irony,irony
@Mikow_ @TransitionTHFC @Rosie_Spursgirl @LeePrivitera It might be an ounce of #irony in @Mikow_ 's first tweet.,irony
"37 million people pursuing infidelity. I wonder how many of them believe LGBT threatens the sanctity of marriage
#irony
@HeyCanYewNot @KTLA",irony
So it's not okay for outsiders to judge the family but different rules applied for Chef Wan? #Irony #TypicalMalay https://t.co/xxiRMM3iiO,irony
Then why not shoot at this lil' bugger stalking me? @WildStarCore @WildStar #wildstar #irony #mmo #pet #octopus http://t.co/hZTDYrOnTC,irony
Ordered the Cod Dinner.. Never had it before..  I'm going to just enjoy the obvious #irony of my order number http://t.co/z2yF2zrBc1,irony
Grind mode engaged thanks to some help I'm back on my dome #godneverleftme #irony #i won't kill you manolo shoot that piece of ****,irony
"@mrhappycyclist @gmcycling this is what you call ""value for money"", spending your tax payers' money efficiently #irony",irony
Your cheatin' heart will tell on you...says Hank Williams Jr &amp; The Impact Team http://t.co/WGZbPfDZM3 #ashleymadison #irony,irony
"my mom came visit me... I can always count on her when I want to feel good about myself, such a confidence buster ! #irony #fml",irony
Hahah @JohnCena said he was here to stop another one of #SethRollins boring monologue #irony #JohnCena monologues been the same for ever...,irony
"Took cat to vet, went well. Surprisingly didn't scratch the vet, which makes the wee anole the only pet I've had that attacked a vet #irony",irony
"It is actually Weathers (with an ""s"")...and yes i IS my real last name. #irony https://t.co/yizP5YO2Re",irony
You loose yourself when looking after everyone else &amp; then you loose everyone when looking after yourself WTF? #irony #empowerment,irony
loool 😂 but you just have to keep #smiling all the way through... #graduation #irony &amp; I don't like that hat 😂 http://t.co/iowPPwGw4k,irony
@CMC1013 @Hoffam it was a civil rights lawyer and his son. The son recorded what you saw in the video. #irony,irony
I like grapes and I like wine but I don't like grapes that taste like wine. #irony http://t.co/ywQUyldp3P,irony
"#irony “@ABC7NY: Cheating website Ashley Madison hacked, personal info posted: http://t.co/wQZRjyq0IQ http://t.co/kuNGYuAdtI”",irony
"So I'm planning music for tonight's mass and the reading is about Pharaoh's army. I think I'll lead with ""Come To The Water"". #clever #irony",irony
And yet they mock  @sinnfeinireland with magic money trees &amp; illiterate economics. #irony  https://t.co/HRmsOQOagd,irony
"Yes We saw the size of THAT CFMEU official.
#TURC funny thing is it ended up being a small discrepancy in spacing. 
Oh the #Irony #Springst",irony
"#WelfareBill not being apposed,looks like the NHS &amp; social care are going to get a whole lot busier!! 

Q24/7 NHS!! #ImInWorkJeremy #irony",irony
"GOP lawmakers decry ""special interests"" while literally standing with...the Koch Bros. #irony #cantmakethisup http://t.co/Uo540n0teq",irony
"#libs can't understand the #Irony
#LibHypocrisy
@hale_razor
@peddoc63
@JohnFromCranber
@jjauthor http://t.co/Bs389exSLK",irony
"#literature is about #irony 
#comedy is pointing out irony.

#quotes #quotesmotivation #writers #QuotesOfTheDay #writing",irony
"I'm preeeeetttyyy sure that ""Respect the Red Light"" is about traffic laws. #bikesafety #visionzero #irony #whatever http://t.co/pzScuV3SKv",irony
"Before I get all kumbayah, I'd like to point out God or FSM don't like ugly.

#takeitdown
#irony http://t.co/agQM6kS2pT",irony
"Should I be the first of my friends to ""like"" the MySpace app on Facebook? #irony #SorryTom… https://t.co/C4M4qt1akH",irony
"I sent my buddy a Tony Romo signed football for his birthday. He told me that it went to the wrong house.

#irony 
#dallascowboys 
#tonyromo",irony
is it sad to be stoked to see a girl that repeatedly says she doesn't want to date me?  #dating #irony #wtf,irony
@PaulMalignaggi So r u gonna rail against #MayweatherBerto since Berto is an ACTUAL cheater? Or will u exhibit more fake journalism? #irony,irony
#old #track from #6 #years ago the #irony I #sampled @KanyeWest #lol #kanyewest #music #production… https://t.co/4F404F88Rg,irony
"Dear anal ettiquette wanker nitpicking on other peoples' behaviour, ""brung"" is not a word #irony #abcnewsbreakfast",irony
Head lines http://t.co/JwPu5cdFB0 #autocorrect #copywriting #irony #proofreading #SaudiArabia #subediting #typo #UN http://t.co/x2JdCawLO8,irony
@lucky13wxman yes but your the weatherman. So your #lucky #irony to have a thunderously cool last name...,irony
Head lines http://t.co/K4vA0KgS2U #autocorrect #copywriting #irony #proofreading #SaudiArabia #subediting #typo #UN http://t.co/ZGns8zvFjR,irony
Head lines http://t.co/3JIldqN3lN #autocorrect #copywriting #irony #proofreading #SaudiArabia #subediting #typo #UN http://t.co/jPcRV5QOQi,irony
I sure hope this is the divorce dinner... I'm so done with Shannon and I feel badly for David! #irony #sympathyforcheater #RHOC #misery,irony
@God___Swill @addictionguy @BloatedCarcass are they called germs in your world? We say gentlemen in my world. #Irony,irony
Premier MYKI DeSal EWLinkCompo @DanielAndrewsMP tells @3AW693 that govt's shouldn't waste money. #irony #springst http://t.co/0vfXWic5bm,irony
Currently listening to this...how ironic. #adult #anxietyalways #electro #synthpop #vinyl #2003 #irony https://t.co/zPAaRYJsSC,irony
University of Winnipeg plans to demolish 1930s heritage hotel to establish urban studies centre? #irony http://t.co/y4XJrpzHY8,irony
@WWE @JohnCena @WWERollins #Cena monologues been the same boring shit for the last 10 years #howironic #irony,irony
Well that's an unfortunate name for a #customerservice rep at #amazon #irony #pita http://t.co/074s7KHrdM,irony
Greatest #irony ever? A Colombian buying Mexican sweet breads at a Mexican bakery that's playing Colombian music on #IndependenciaDeColombia,irony
Everyone's trying so hard to avoid being basic that they don't realize that that's what they're becoming #irony,irony
@VannevarB @GetTheFlick We track satellites and #spacejunk with ground based radar. #WW2technology #NextGen #Irony http://t.co/WD6e5UaqZz,irony
@JohnBaker1975 @Bike_Lin  @CyclingMikey Check the context of the original tweet before commenting. #humour #irony,irony
While oil leaks our Canadian Premiers push for the expansion of pipelines. #Irony #canpoli #climatechange  https://t.co/rBCXYrbxTw,irony
Omg my new portable charger charges my phone faster than my comp and an outlet put together 😂😂😂 #irony,irony
.@nprnews @JessicaTaylor Strange that @GOP that LOVES war so much can only field 2 military candidates in a field of 15 or whatever. #irony,irony
"Went to bed wearing my ""keep calm and kill zombies"" shirt and had a dream about zombies go figure. #irony",irony
@waynex if you love #language #beauty #laughter #irony #singularities then the Quartet is for you: not for conformists or punitive moralists,irony
Sun TV is complaining that Govt. is partial to Reliance when they were enjoying full support of I&amp;B when Dayanidhi was in power. #Irony,irony
Learn about copyright from a company who uses the facebook-f as their logo: http://t.co/fbu2HJYJtC #irony,irony
#Tennessee #gunman thought #ISIS was #stupid and acted even more #dumber than them. Talk about an #irony,irony
"Cash thrown at Blatter
http://t.co/pGnjagyFFR This has nothing to do with Football. #Irony #Blatter #RT",irony
Listening to a talk about design and brand experience. The slide deck is funny... This was one of the slides. #irony http://t.co/OEE5g2PTSC,irony
"Here's another take on it. Yes, #Irony that it's in the form of a tweet.

#climatechange #FeelTheBern http://t.co/gVms3oS48H",irony
"Pt with the last name Joy, followed by a pt with the last name Dick. If their names had been switched, it would have been perfect #irony",irony
The toilet paper that is doing all it can to get rid of your human rights. Is using them to defend its hacks #irony http://t.co/EU6xPLw82u,irony
"Kyle Brofloski: ""We're trying to stop them from watching murder porn!!!!""
Me: *changes channel to Law and Order: SVU*
#southpark #irony",irony
"Ironic, oops 😏 #ironic #irony #greentea #timhortons #canada #starbucks #tea #teatox #swag #fun… https://t.co/ybr9LDLO1f",irony
.Huh. A challenge to remove books that are about saving books. #irony @LibraryJournal @infodocket http://t.co/KFXxlbwbqn,irony
So annoyed that I walk into @oceanbasketza Musgrave nd it's empty nd no1 attended me until when I was walking out #Irony #NoGoZone #NotMyDay,irony
@ZekeJMiller HAHA @realDonaldTrump  says a NEWSPAPER will 'do anything for a headline' ????  OMG #IRONY,irony
"I just ran 52% up and down the Las Vegas Strip to Rock It Science by @djmarcthrasher on @RockMyrun! http://t.co/ET9HvKDqzK
#vegaslife #irony",irony
"Inspired by Pellizza da Volpedo ""Memory of Sorrow""
#art #oilpainting #pellizzadavolpedo #irony #modernlife #portrait http://t.co/QJmFIg0cLi",irony
"But the most creative ad campaigns are money makers for Agencies who win awards, bill huge $$ yet make little back for the client. #irony",irony
"And on another news, @TwitterSG has so many weird followers it looks like they bought followers. Which is impossible. Right? #irony",irony
Teachers get six weeks holiday. #irony #day2 #iswearthisisgettingworseandnotanybetter https://t.co/4tKYh1kcs4,irony
#ThatAwkardMomentWhen you see someone power walking for exercise while simultaneously smoking a cigarette #Irony #OrNah,irony
"#Irony In the land of Buddha, these days you can't chose the middle path. Either you are pro-Modi or anti-Modi",irony
@MrMikeCalta @ryanhopperadio Survives a wk on a cruise (AKA floating petri dish) then returns to a potentially MRSA-filled studio. #irony,irony
"#Irony Instead of dealing with the roots of a problem, Turkish authorities rather prefer to ban any form of expression aftermath of an event",irony
"@carrick_fan @Lazallana not getting involved but just wanted to point out it's ""smarter"" not ""more smarter"". #irony",irony
"From photos, it looks like Beats1 runs Wide Orbit, software formerly known as Google Radio Automation. Runs under Windows. #irony",irony
"@theipa ""libertarians"" want govt to force their pro-British history curriculum on students. #irony #auspol @chrisberg http://t.co/RFBM3JTy0u",irony
We're spending millions of dollars to find alien life and yet we can't even protect the life we have here on Earth. #science #irony,irony
“@laurameckler: #irony part 2: Liberals more likely to value teaching tolerance. Via Pew. http://t.co/v1lxwPutBA http://t.co/RWn19xPP3V”,irony
#Ladbrokes on @BBCBreakfast talking about giving people mental health advice! They're the cause of mental stress! #irony,irony
"those who glorify eye-teasing in movies, come out to the streets to protest against sexual harassment.
#irony",irony
"Blacks are the most imitated race, yet the least respected and appreciated at the same time #irony #racism #black #african #imitating #huh",irony
"Oh, the irony. ""Google Is Hiring An SEO Manager To Improve Its Rankings In Google"" http://t.co/GWGxzsXtsW via @sengineland #irony #google",irony
When you are subjected to #PAS only the bad stuff gets amplified #irony of ironies  https://t.co/Ta1GZ8tu2z,irony
WG old songs are the best :DD NP: #tellme #irony #sohot oh #Sohee OMONA ♡ #criesinthecorner #missedthis #classic sohee &amp; sunye hwaiting ^_^,irony
2/2 Crazy George taught electronics @ my Silicon Valley HS &amp; led The Wave @ pep rallies. The school discontinued electronics in 1975. #irony,irony
Your whole life as a man you try to be a player. Than one woman comes that you decide to change for. Then she doesn't want you. #irony,irony
Hackers tried a DoS attack on my site following videos of @celticfc #paradise. They should have known it's powered off Green energy. #irony,irony
"I need shears, open the new shears that I bought at Sam's, to replace my broken shears...
@KitchenAidUSA. ? #irony http://t.co/wabb4aQmjd",irony
"Agent dredges up
Long-lost Charlotte's Web Sequel
Fern, now old, eats ham.

 #RareNonSportsHaiku #irony #gotellawatchman",irony
"Working at the gym all day.
Pro - I can #workout whenever.
Con - Fit my workout in.
#crossfitproblems #irony #getitdone #goals #girlswholift",irony
people who call me crazy are usually some of the most #brainwashed #addicted to #propaganda #narratives #irony http://t.co/5diHQRA52G,irony
John Lamont (labour whip) telling the SNP to do their elected role #irony labour aren't doing theirs https://t.co/tkUjvwHFKh,irony
"Huh.  @bombas sends a lot of ""we really care!"" emails, yet doesn't reply to customer service inquiries about the lack of shipment... #irony",irony
The same people crying about the Benteke deal not being announced yet are the same people that didn't want him to sign 😂 #irony,irony
What an irony #DeshPremeeBiri being manufactured by #DawoodIbrahim #Irony #ItHappensOnlyInIndia #India http://t.co/XIB2OdvQ4K,irony
"Ashley Madison, a Dating Website, Says Hackers May Have Data on Millions http://t.co/Uczy4fsnTt - #irony",irony
"So, you're being condescending to me because of how ''young'' I am, yet it turns out I'm 6 years older than you. #Irony",irony
To Liberals who care so much about Corporations and profits #ppsellsbabyparts and are funded by the United States Government #Irony,irony
@HenryJones98 @pgo1980 @GeorgeAylett tap on it #Donkey the full picture is there. Oh and that's not #irony either. A bright #Tory. Not!,irony
@alphabetsuccess @avinashgod well most ppl read Murakami for exactly that reason - that everyone else is reading him :D #irony,irony
"My psychiatrist checked on me before I graduated and she told me when she met me 3 years ago, I changed her life. #irony",irony
"So according to the ladies of @TheView, children should know how to behave in public, but not a grown @BacheloretteABC.  #Irony

#theview",irony
@Deadline @khloekardashian @FYI #Irony this family is famous because one of them got a cock in her tail! Oh and that murder trial!,irony
"@DSwizzle17 Yeah in 86 the best Celtics team of all-time won the title. Although led by an Indiana man, Larry Bird. #irony",irony
"@mattselman @lanyardigan at least there's a cat now, but I'm holding out for a turtle. I mean, who irons anymore? #irony",irony
"About to give up on tomorrow's speech. Unfortunately the end of this speech says ""never give up"". #irony",irony
"They Worshipping Devi but not allowing womans 2enter in a Temple.
#Irony  #ShaktiPeeth  
http://t.co/kYuYbq5NMH
@Bhanujgd @srivinow",irony
"The #irony of @MailOnline calling a website that rates women on physical appearance, ""toe curling"". #dailymail http://t.co/AR4w23APeC",irony
BAHAHAHA! So @Jeremy_Hunt wants doctors to work seven days a week even though they already do. How often do politicians work again? #irony,irony
"...because of capital controls #greececrisis #eurozone #grexit
#irony #JokeOfTheDay  https://t.co/rsgPwvNMCt",irony
"Well done Mr Joe man. You did a gr8 kick into dat net thing. I am impressed dat u can kick so good goals! goal keeper for life, lol #irony",irony
"You know who else is 20 today? KIDS and FREE WILLY 2. Yes, CLUELESS and KIDS came out on the same day. #irony",irony
Kashmir- A place where burning national flag is favorite local pastime but burning ISIS flag causes riots. #irony #Rajouri.,irony
Vynil LPs r making a comeback 4 their superior analog sound. Are any peeps buying vynil listening on equip that costs more than $150? #irony,irony
"For showing extreme sexism towards men in the workplace, the VP seems to enjoy working from the kitchen. #Irony",irony
&gt;&gt;&gt;when ur new landlord shows up w landscapers after u spent hrs the day before landscaping #irony,irony
"This reg form asked just for my email…THEN I got THIS…for webinar on 
improving productivity! #irony #marketing #fail http://t.co/NvlErodbTq",irony
#pnpcbc @RosieBarton  laywers&amp;journalists are taking HarperGovtTM to court re C51 lol #irony http://t.co/Uvcws0sIbr,irony
"European Colonialists returning to Latin America, this time looking for jobs. #Irony http://t.co/kMdc24zSdZ",irony
"@ZenBossbrannan3 Calling someone an idiot while barely being able to form sentences and spell is a bit ridiculous, don't you think? #irony",irony
"everybody has a problem with the police, judiciary, govt but no one wants to join them to do something better.
#irony",irony
i have to install Flash on my computer to take the company security training course #irony http://t.co/vyMEkbXZJo,irony
Not a cloud in the sky on the day I become a member of the @CloudAppSoc (thanks to @therealriss) #Irony http://t.co/pRckXHcWGH,irony
I'm on the liberal PBS right now!! Talking about why theocracy is dangerous #irony #santorum #tcot #IranDeal http://t.co/F9TBP4PP1Y,irony
"@brownowl1971 @ApRhys26 @neiljmcevoy ""Your Local Labour Team - listening to you"" Really? #WheeliebinGate #Irony http://t.co/sksU0O2QkB",irony
"The most knowledgeable wanna know more, the most ignorant are happy to remain so.. #HearTheVerb #Irony #UpCloseNPersonal @Yfm",irony
So since Miranda cheated on Blake does that mean she's going to write songs about herself and how shitty n whorey she is? #irony,irony
😂😂 RT @KimKardashian: I'm not trying to shade anyone! That's not my style! I just thought that caption was perfect for that pic! #ironic,irony
"@RameshPatel32 @neiljmcevoy @ElinTudurPlaid ""Your Local Labour Team-listening to you"" Really? #WheeliebinGate #Irony http://t.co/mcp5hKniIi",irony
"Ironically the girl who crashed me today had ""phd"" on her license plate... phd on stupidity!! #irony #baddriver #illegaluturn #buckleup",irony
"You gotta be a student to be a great teacher, sometimes u gotta be a follower to be a leader. #HearTheVerb #Irony #UpCloseNPersonal @Yfm",irony
@kafir543 @davidtorrance: SNP supporters strongly deny it - they can't see SNP pomposity spooked EWNI &amp; secured Tory maj in #GE2015. #Irony,irony
"""If lack of irony in @Alanis' #Ironic still bugs you 20 years on, watch this:"" http://t.co/aGC5oNmOLa  #JaggedLittlePill via @CBCMusic",irony
"Ironic that Dems attack @realDonaldTrump for his McCain remarks, yet it wasn't long ago that they were calling 'Nam vets baby killers #irony",irony
"Find it a little funny ""what's goin' on"" plays in the background of SIDA meeting #irony #DistrictAttorneySI",irony
Sometimes u feel alone in the best company. Sometimes u in the best company when u all alone. #Irony #HearTheVerb #UpCloseNPersonal @Yfm,irony
@MarieTBrady @cbolgerr Apparently the crowd he worked for sponsored the FF tent at the Listowel races!!!! #irony,irony
Stickers spotted on a Jeep Patriot with handicap flag framed license plates #irony http://t.co/F1w3neK7GA,irony
@margaerytyreII @NICKIMINAJ tbh nicki did indirect her with 'music vids featuring skinny models' #BadBlood #ironic,irony
@kaitlynbristowe and I might be the same person since we both have bird tattoos and are actually deathly afraid of them 🚫🐦 #irony 💁🏼👭,irony
#irony tweet of the day goes to #GodBotherer @AndyKindler - strange how I can still view his timeline = it's #MAGIC! http://t.co/Hoj3nssQbQ,irony
An old man turned 98. He won the lottery and died the next day... from a severe cut from his lottery ticket. #ironic http://t.co/aGC5oNmOLa,irony
When you get ad for @onedirection's tour before a @POPPKELL video where she plays a @zaynmalik dating sim 😂 #irony,irony
@AXCL0912 @BeantwnPup @HandlerDerrick and you know they'd love the twist of the one being chased is really a gay puppy #irony,irony
So many songs about lost love. So many tortured souls over mistakes. The never ending chain of broken hearts needs to be broken. #irony,irony
@AGilinsky @neil4ebelfast @EimhearCF @Smyf You really should read some history. No British occupation no IRA! #Irony,irony
"Comedian pranks criminal, gets arrested. Ok then.
#Irony #OhDearWhatCanTheBlatterBe #FIFAckoffm80

http://t.co/TGssEbiMmX",irony
Throwback to the time I was watching John Mayer perform Waiting on the World to Change at Jingle Ball and a fight happened next to me #irony,irony
"@sudhirchaudhary @sardanarohit its not hypocrisy that only Neha Dhupia has freedom of speech nor her critics?  
@gauravcsawant 
#Irony",irony
Ha! @KimKardashian had #ironic &amp; ICONIC timing w/ this caption &amp; @VogueSpain pic while not knowing about NM/TS drama! http://t.co/9WjCSAvqAU,irony
#Irony   Gov MPs taking part in 'opening ceremonies' for #foodbanks?  Hope there's not a ribbon!  #toomuch https://t.co/X9zc8JgpFk,irony
"Seems many next-gen open source devs just don't ""get"" Copyleft... they're vulnerable to corporate propaganda calling GPL ""non-free"". #irony",irony
"@NICKIMINAJ makes a critique about the #VMAs putting down black women and the media calls her out for being ""angry black woman"" #irony",irony
