id,review_body,tokenized_text
7236,arrived quickly (gotta love prime!) and works great.  does just what it is supposed to and very easy to install and use.,"[101, 3369, 2855, 1006, 10657, 2293, 3539, 999, 1007, 1998, 2573, 2307, 1012, 2515, 2074, 2054, 2009, 2003, 4011, 2000, 1998, 2200, 3733, 2000, 16500, 1998, 2224, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
37370,cd didn't work properly i emailed seller to help with installation was helpful at all i emailed for refund back no response waste of money and time,"[101, 3729, 2134, 1005, 1056, 2147, 7919, 1045, 10373, 2098, 14939, 2000, 2393, 2007, 8272, 2001, 14044, 2012, 2035, 1045, 10373, 2098, 2005, 25416, 8630, 2067, 2053, 3433, 5949, 1997, 2769, 1998, 2051, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
53093,"wasted time and money trying to get this to work.  bling support instructions also did not work.  save your time and money, and do not buy.","[101, 13842, 2051, 1998, 2769, 2667, 2000, 2131, 2023, 2000, 2147, 1012, 1038, 2989, 2490, 8128, 2036, 2106, 2025, 2147, 1012, 3828, 2115, 2051, 1998, 2769, 1010, 1998, 2079, 2025, 4965, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7032,can not download key code from c d.,"[101, 2064, 2025, 8816, 3145, 3642, 2013, 1039, 1040, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
45601,"the saller is a professional person. he treated me as good as a saller should. but  the software  was not usefull to me. go the web and see yourself. if i knew, i would had not not not purchase  this software.i say kisp.","[101, 1996, 18005, 2099, 2003, 1037, 2658, 2711, 1012, 2002, 5845, 2033, 2004, 2204, 2004, 1037, 18005, 2099, 2323, 1012, 2021, 1996, 4007, 2001, 2025, 6179, 2140, 2000, 2033, 1012, 2175, 1996, 4773, 1998, 2156, 4426, 1012, 2065, 1045, 2354, 1010, 1045, 2052, 2018, 2025, 2025, 2025, 5309, 2023, 4007, 1012, 1045, 2360, 11382, 13102, 1012, 102, 0, 0, 0, 0, 0, 0, 0]"
73554,"did all my old vhs tapes,works great.would have done this before if i know it was tha easy. going to do my friends now.","[101, 2106, 2035, 2026, 2214, 17550, 13324, 1010, 2573, 2307, 1012, 2052, 2031, 2589, 2023, 2077, 2065, 1045, 2113, 2009, 2001, 22794, 3733, 1012, 2183, 2000, 2079, 2026, 2814, 2085, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
57334,"for whatever reason, i was unable to install this into my computer, which was very disappointing.  i don't like useless products.","[101, 2005, 3649, 3114, 1010, 1045, 2001, 4039, 2000, 16500, 2023, 2046, 2026, 3274, 1010, 2029, 2001, 2200, 15640, 1012, 1045, 2123, 1005, 1056, 2066, 11809, 3688, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
37695,"love it! i'm still working out the commands. the only thing i'd note is that it doesn't have a direct command link into onenote (used by many students). if it had that, you'd only hear good things from me.","[101, 2293, 2009, 999, 1045, 1005, 1049, 2145, 2551, 2041, 1996, 10954, 1012, 1996, 2069, 2518, 1045, 1005, 1040, 3602, 2003, 2008, 2009, 2987, 1005, 1056, 2031, 1037, 3622, 3094, 4957, 2046, 2028, 22074, 1006, 2109, 2011, 2116, 2493, 1007, 1012, 2065, 2009, 2018, 2008, 1010, 2017, 1005, 1040, 2069, 2963, 2204, 2477, 2013, 2033, 1012, 102, 0, 0, 0, 0, 0, 0, 0]"
129574,i upgraded to 7.0 pro because of the advertised autocad enhancements.  what they failed to say is that it does not work for autocad lt.  there is no advantage over 5.0 for my needs.  a total waste of money for me.,"[101, 1045, 9725, 2000, 1021, 1012, 1014, 4013, 2138, 1997, 1996, 17099, 8285, 3540, 2094, 22415, 2015, 1012, 2054, 2027, 3478, 2000, 2360, 2003, 2008, 2009, 2515, 2025, 2147, 2005, 8285, 3540, 2094, 8318, 1012, 2045, 2003, 2053, 5056, 2058, 1019, 1012, 1014, 2005, 2026, 3791, 1012, 1037, 2561, 5949, 1997, 2769, 2005, 2033, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0]"
128496,"this program installed fine, except when i went into the program, it wouldn't let me put a single dvd on it.  it says it is css encripted.  did you know that the only dvds thar r not css encripted are home videos.","[101, 2023, 2565, 5361, 2986, 1010, 3272, 2043, 1045, 2253, 2046, 1996, 2565, 1010, 2009, 2876, 1005, 1056, 2292, 2033, 2404, 1037, 2309, 4966, 2006, 2009, 1012, 2009, 2758, 2009, 2003, 20116, 2015, 4372, 23235, 2098, 1012, 2106, 2017, 2113, 2008, 1996, 2069, 22477, 22794, 2099, 1054, 2025, 20116, 2015, 4372, 23235, 2098, 2024, 2188, 6876, 1012, 102, 0, 0, 0, 0, 0, 0]"
110587,"has a very nice \\""game of four winds\\"".  if you try to buy that game separately it is $40 or more; here under $20.","[101, 2038, 1037, 2200, 3835, 1032, 1032, 1000, 2208, 1997, 2176, 7266, 1032, 1032, 1000, 1012, 2065, 2017, 3046, 2000, 4965, 2008, 2208, 10329, 2009, 2003, 1002, 2871, 2030, 2062, 1025, 2182, 2104, 1002, 2322, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
48241,still haven't been able to open the cd. doesn't come with instructions. wrote 3 times to printedtree publishing and still no answer. won't recommend  this product,"[101, 2145, 4033, 1005, 1056, 2042, 2583, 2000, 2330, 1996, 3729, 1012, 2987, 1005, 1056, 2272, 2007, 8128, 1012, 2626, 1017, 2335, 2000, 6267, 13334, 4640, 1998, 2145, 2053, 3437, 1012, 2180, 1005, 1056, 16755, 2023, 4031, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
131484,i have had a terrible time getting this program to run.  it constantly shuts down or comes up with errors.  it was a total waste of money as far as i am concerned.,"[101, 1045, 2031, 2018, 1037, 6659, 2051, 2893, 2023, 2565, 2000, 2448, 1012, 2009, 7887, 3844, 2015, 2091, 2030, 3310, 2039, 2007, 10697, 1012, 2009, 2001, 1037, 2561, 5949, 1997, 2769, 2004, 2521, 2004, 1045, 2572, 4986, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
65773,it's an excellent video because really do a great job of giving you keen understanding. i would highly recommend to anyone.,"[101, 2009, 1005, 1055, 2019, 6581, 2678, 2138, 2428, 2079, 1037, 2307, 3105, 1997, 3228, 2017, 10326, 4824, 1012, 1045, 2052, 3811, 16755, 2000, 3087, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
53533,i tried to install on 3 computers both pc and mac and it would not work. don't waste your money,"[101, 1045, 2699, 2000, 16500, 2006, 1017, 7588, 2119, 7473, 1998, 6097, 1998, 2009, 2052, 2025, 2147, 1012, 2123, 1005, 1056, 5949, 2115, 2769, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
122026,leopard is awesome.  the new features are great and the you can't beat the price.,"[101, 16240, 2003, 12476, 1012, 1996, 2047, 2838, 2024, 2307, 1998, 1996, 2017, 2064, 1005, 1056, 3786, 1996, 3976, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
25338,"i gave this 2 stars because norton has bad customer service now.  it used to be awesome, but now it costs extra to get any type of help.  i will be purchasing a different security system next year.","[101, 1045, 2435, 2023, 1016, 3340, 2138, 10770, 2038, 2919, 8013, 2326, 2085, 1012, 2009, 2109, 2000, 2022, 12476, 1010, 2021, 2085, 2009, 5366, 4469, 2000, 2131, 2151, 2828, 1997, 2393, 1012, 1045, 2097, 2022, 13131, 1037, 2367, 3036, 2291, 2279, 2095, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
54168,"the documentation is virtually nonexistent.  what does this product actually do?  it won't undelete any files, that much i know.  os x comes with its own disk checker and corrector.<br /><br />my advice: don't waste your money.","[101, 1996, 12653, 2003, 8990, 3904, 9048, 16173, 2102, 1012, 2054, 2515, 2023, 4031, 2941, 2079, 1029, 2009, 2180, 1005, 1056, 6151, 12260, 2618, 2151, 6764, 1010, 2008, 2172, 1045, 2113, 1012, 9808, 1060, 3310, 2007, 2049, 2219, 9785, 4638, 2121, 1998, 6149, 2953, 1012, 1026, 7987, 1013, 1028, 1026, 7987, 1013, 1028, 2026, 6040, 1024, 2123, 1005, 1056, 5949, 2115, 2769, 1012, 102]"
45290,the games were the worst games that i have every purchased from anywhere! never buy from them again! the games don't even work all the way!,"[101, 1996, 2399, 2020, 1996, 5409, 2399, 2008, 1045, 2031, 2296, 4156, 2013, 5973, 999, 2196, 4965, 2013, 2068, 2153, 999, 1996, 2399, 2123, 1005, 1056, 2130, 2147, 2035, 1996, 2126, 999, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
18290,these were fun to play i like them it really good games,"[101, 2122, 2020, 4569, 2000, 2377, 1045, 2066, 2068, 2009, 2428, 2204, 2399, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7378,stupid! waste a lot of my time looking for the series number.,"[101, 5236, 999, 5949, 1037, 2843, 1997, 2026, 2051, 2559, 2005, 1996, 2186, 2193, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
90560,"if you can't afford the price of photoshop, this is the product to get.  paint shop pro can do everything that photoshop does at 1/4 the cost.  it's a great product that i still use to this day!","[101, 2065, 2017, 2064, 1005, 1056, 8984, 1996, 3976, 1997, 7760, 18471, 1010, 2023, 2003, 1996, 4031, 2000, 2131, 1012, 6773, 4497, 4013, 2064, 2079, 2673, 2008, 7760, 18471, 2515, 2012, 1015, 1013, 1018, 1996, 3465, 1012, 2009, 1005, 1055, 1037, 2307, 4031, 2008, 1045, 2145, 2224, 2000, 2023, 2154, 999, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5067,works great and it makes it possible to save those old vhs home movies to cd. you do have to get the patch program but it's free on line.,"[101, 2573, 2307, 1998, 2009, 3084, 2009, 2825, 2000, 3828, 2216, 2214, 17550, 2188, 5691, 2000, 3729, 1012, 2017, 2079, 2031, 2000, 2131, 1996, 8983, 2565, 2021, 2009, 1005, 1055, 2489, 2006, 2240, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
67830,the damned thing wouldn't play. no matter what i did i could get no sound from it. junk and hate the program as well.,"[101, 1996, 9636, 2518, 2876, 1005, 1056, 2377, 1012, 2053, 3043, 2054, 1045, 2106, 1045, 2071, 2131, 2053, 2614, 2013, 2009, 1012, 18015, 1998, 5223, 1996, 2565, 2004, 2092, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
60571,great to be able to get a copy of this still. we needed xp for some programs that can't be run on 7.,"[101, 2307, 2000, 2022, 2583, 2000, 2131, 1037, 6100, 1997, 2023, 2145, 1012, 2057, 2734, 26726, 2005, 2070, 3454, 2008, 2064, 1005, 1056, 2022, 2448, 2006, 1021, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
104902,"software is ok, but have never been able to get the gps locator to work, even with the help of ms.  i'll stick with garmin for gps, and use streets and trips for trip planning only.","[101, 4007, 2003, 7929, 1010, 2021, 2031, 2196, 2042, 2583, 2000, 2131, 1996, 14658, 8840, 11266, 2953, 2000, 2147, 1010, 2130, 2007, 1996, 2393, 1997, 5796, 1012, 1045, 1005, 2222, 6293, 2007, 11721, 27512, 2005, 14658, 1010, 1998, 2224, 4534, 1998, 9109, 2005, 4440, 4041, 2069, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6716,this is a great thing to have on your pc. a lot of fun for the kids.,"[101, 2023, 2003, 1037, 2307, 2518, 2000, 2031, 2006, 2115, 7473, 1012, 1037, 2843, 1997, 4569, 2005, 1996, 4268, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1187,"just what i've come to expect from microsoft. does some things better than it's predecessors, other things not as well. touch screen interface is almost as good as apple's; much better than windows 7!","[101, 2074, 2054, 1045, 1005, 2310, 2272, 2000, 5987, 2013, 7513, 1012, 2515, 2070, 2477, 2488, 2084, 2009, 1005, 1055, 16372, 1010, 2060, 2477, 2025, 2004, 2092, 1012, 3543, 3898, 8278, 2003, 2471, 2004, 2204, 2004, 6207, 1005, 1055, 1025, 2172, 2488, 2084, 3645, 1021, 999, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
133278,very poor product. custome service not much better. don't even think about using it on window xp. buffer underrun errors constantly. i switched to nero 5.5. and have not had any problems so far.,"[101, 2200, 3532, 4031, 1012, 7661, 2063, 2326, 2025, 2172, 2488, 1012, 2123, 1005, 1056, 2130, 2228, 2055, 2478, 2009, 2006, 3332, 26726, 1012, 17698, 2104, 15532, 10697, 7887, 1012, 1045, 7237, 2000, 19212, 1019, 1012, 1019, 1012, 1998, 2031, 2025, 2018, 2151, 3471, 2061, 2521, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
127871,"look, it's gets all your files transferred, but don't count on the programs... i think the price doesn't properly reflect the value.","[101, 2298, 1010, 2009, 1005, 1055, 4152, 2035, 2115, 6764, 4015, 1010, 2021, 2123, 1005, 1056, 4175, 2006, 1996, 3454, 1012, 1012, 1012, 1045, 2228, 1996, 3976, 2987, 1005, 1056, 7919, 8339, 1996, 3643, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
75768,i'm new to fritz.  heard a lot about it.  the problem is i don't know how to use it.<br />i thought there would be an instructional introduction to it in the dvd.  it's useless to me.  very disappointed.,"[101, 1045, 1005, 1049, 2047, 2000, 12880, 1012, 2657, 1037, 2843, 2055, 2009, 1012, 1996, 3291, 2003, 1045, 2123, 1005, 1056, 2113, 2129, 2000, 2224, 2009, 1012, 1026, 7987, 1013, 1028, 1045, 2245, 2045, 2052, 2022, 2019, 23219, 4955, 2000, 2009, 1999, 1996, 4966, 1012, 2009, 1005, 1055, 11809, 2000, 2033, 1012, 2200, 9364, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0]"
106467,"it was really complicated to install and couldn't install it on my father-in-law's computer. we ended up not even using it, and i donated it to goodwill! unfortunately, a waste of my money.","[101, 2009, 2001, 2428, 8552, 2000, 16500, 1998, 2481, 1005, 1056, 16500, 2009, 2006, 2026, 2269, 1011, 1999, 1011, 2375, 1005, 1055, 3274, 1012, 2057, 3092, 2039, 2025, 2130, 2478, 2009, 1010, 1998, 1045, 6955, 2009, 2000, 22875, 999, 6854, 1010, 1037, 5949, 1997, 2026, 2769, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
16380,this program is not worth buying.  don't waste your money.  i recycled mine.,"[101, 2023, 2565, 2003, 2025, 4276, 9343, 1012, 2123, 1005, 1056, 5949, 2115, 2769, 1012, 1045, 22207, 3067, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
132413,don't fall for any rebate offers roxio advertises.<br>it's a farce.,"[101, 2123, 1005, 1056, 2991, 2005, 2151, 2128, 20179, 4107, 20996, 9048, 2080, 4748, 16874, 13087, 1012, 1026, 7987, 1028, 2009, 1005, 1055, 1037, 2521, 3401, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
29107,"i was wrong it will not work on window's 7, only on windows95,sorry for the bad info","[101, 1045, 2001, 3308, 2009, 2097, 2025, 2147, 2006, 3332, 1005, 1055, 1021, 1010, 2069, 2006, 3645, 2683, 2629, 1010, 3374, 2005, 1996, 2919, 18558, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
129062,"it's a great product, but i'm not sure it really benefits anyone to upgrade to it from fairly recent versions.","[101, 2009, 1005, 1055, 1037, 2307, 4031, 1010, 2021, 1045, 1005, 1049, 2025, 2469, 2009, 2428, 6666, 3087, 2000, 12200, 2000, 2009, 2013, 7199, 3522, 4617, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
52416,"a lot of settings don't get moved and several applications needed to be re-registered.  it should also warn of incompatibility with the new os. notification worked well, however.","[101, 1037, 2843, 1997, 10906, 2123, 1005, 1056, 2131, 2333, 1998, 2195, 5097, 2734, 2000, 2022, 2128, 1011, 5068, 1012, 2009, 2323, 2036, 11582, 1997, 4297, 25377, 10450, 8553, 2007, 1996, 2047, 9808, 1012, 26828, 2499, 2092, 1010, 2174, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
45571,better price through amazon than buying directly with mcafee. no problem getting the software to load properly. loaded it twice. once  on a computer running windows 7 and the other running windows 8. both times it loaded perfectly.,"[101, 2488, 3976, 2083, 9733, 2084, 9343, 3495, 2007, 22432, 7959, 2063, 1012, 2053, 3291, 2893, 1996, 4007, 2000, 7170, 7919, 1012, 8209, 2009, 3807, 1012, 2320, 2006, 1037, 3274, 2770, 3645, 1021, 1998, 1996, 2060, 2770, 3645, 1022, 1012, 2119, 2335, 2009, 8209, 6669, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
80790,"i find that dragon is a great help in my writings, and i love it that it spells correctly, punctuates, and everything is done correctly.","[101, 1045, 2424, 2008, 5202, 2003, 1037, 2307, 2393, 1999, 2026, 7896, 1010, 1998, 1045, 2293, 2009, 2008, 2009, 11750, 11178, 1010, 26136, 6593, 20598, 2015, 1010, 1998, 2673, 2003, 2589, 11178, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
85946,"the dragon naturallspeaking premium 12, english arrived on time as scheduled and it appears to work as it is supposed to do. we just have not had time to exploit it to the fullest - seems to be a great product","[101, 1996, 5202, 3019, 4877, 5051, 15495, 12882, 2260, 1010, 2394, 3369, 2006, 2051, 2004, 5115, 1998, 2009, 3544, 2000, 2147, 2004, 2009, 2003, 4011, 2000, 2079, 1012, 2057, 2074, 2031, 2025, 2018, 2051, 2000, 18077, 2009, 2000, 1996, 2440, 4355, 1011, 3849, 2000, 2022, 1037, 2307, 4031, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
